"filename", "language", "JavaScript", "CSS", "XML", "SCSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"e:\Dev\React\SidiroIOT\client\README.md", "Markdown", 0, 0, 0, 0, 0, 37, 0, 0, 32, 69
"e:\Dev\React\SidiroIOT\client\package-lock.json", "JSON", 0, 0, 0, 0, 14913, 0, 0, 0, 1, 14914
"e:\Dev\React\SidiroIOT\client\package.json", "JSON", 0, 0, 0, 0, 50, 0, 0, 0, 1, 51
"e:\Dev\React\SidiroIOT\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 22, 23, 1, 46
"e:\Dev\React\SidiroIOT\client\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"e:\Dev\React\SidiroIOT\client\src\App.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 5, 53
"e:\Dev\React\SidiroIOT\client\src\App.scss", "SCSS", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Dev\React\SidiroIOT\client\src\App.test.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Dev\React\SidiroIOT\client\src\actions\AccountPage.action.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\Dev\React\SidiroIOT\client\src\actions\Authentication.action.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\Dev\React\SidiroIOT\client\src\actions\ConfirmDeleteUserDialog.action.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\Dev\React\SidiroIOT\client\src\actions\CreateAccountDialog.action.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\Dev\React\SidiroIOT\client\src\actions\DevicesList.action.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\Dev\React\SidiroIOT\client\src\actions\HardwareUsage.action.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\Dev\React\SidiroIOT\client\src\actions\LanguageDialog.action.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\Dev\React\SidiroIOT\client\src\actions\LoginPage.action.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\Dev\React\SidiroIOT\client\src\actions\Snackbar.action.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\Dev\React\SidiroIOT\client\src\actions\UniversalTabs.action.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\Dev\React\SidiroIOT\client\src\actions\UserAccountsPage.action.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\Dev\React\SidiroIOT\client\src\components\AccountPage.component.js", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 1, 10, 140
"e:\Dev\React\SidiroIOT\client\src\components\ConfirmDeleteUserDialog.component.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 6, 70
"e:\Dev\React\SidiroIOT\client\src\components\CreateAccountDialog.component.js", "JavaScript", 171, 0, 0, 0, 0, 0, 0, 2, 10, 183
