"filename", "language", "JavaScript", "CSS", "SCSS", "JSON", "XML", "Markdown", "Log", "HTML", "comment", "blank", "total"
"e:\Dev\React\SidiroIOT\client\README.md", "Markdown", 0, 0, 0, 0, 0, 37, 0, 0, 0, 32, 69
"e:\Dev\React\SidiroIOT\client\debug.log", "Log", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\Dev\React\SidiroIOT\client\package-lock.json", "JSON", 0, 0, 0, 16261, 0, 0, 0, 0, 0, 1, 16262
"e:\Dev\React\SidiroIOT\client\package.json", "JSON", 0, 0, 0, 49, 0, 0, 0, 0, 0, 1, 50
"e:\Dev\React\SidiroIOT\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 22, 23, 1, 46
"e:\Dev\React\SidiroIOT\client\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"e:\Dev\React\SidiroIOT\client\src\App.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 5, 60
"e:\Dev\React\SidiroIOT\client\src\App.scss", "SCSS", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"e:\Dev\React\SidiroIOT\client\src\App.test.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Dev\React\SidiroIOT\client\src\actions\AccountPage.action.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Dev\React\SidiroIOT\client\src\actions\Authentication.action.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\Dev\React\SidiroIOT\client\src\actions\Backdrop.action.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\Dev\React\SidiroIOT\client\src\actions\ConfirmDeleteUserDialog.action.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\Dev\React\SidiroIOT\client\src\actions\CreateAccountDialog.action.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"e:\Dev\React\SidiroIOT\client\src\actions\DevicesList.action.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\Dev\React\SidiroIOT\client\src\actions\DevicesSelectionPage.action.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Dev\React\SidiroIOT\client\src\actions\HardwareUsage.action.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\Dev\React\SidiroIOT\client\src\actions\IPconfigDialog.action.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"e:\Dev\React\SidiroIOT\client\src\actions\LanguageDialog.action.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\Dev\React\SidiroIOT\client\src\actions\LoginPage.action.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\Dev\React\SidiroIOT\client\src\actions\Settings.action.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\Dev\React\SidiroIOT\client\src\actions\Snackbar.action.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\Dev\React\SidiroIOT\client\src\actions\UniversalTabs.action.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\Dev\React\SidiroIOT\client\src\actions\UserAccountsPage.action.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\Dev\React\SidiroIOT\client\src\components\AccountPage.component.js", "JavaScript", 176, 0, 0, 0, 0, 0, 0, 0, 1, 12, 189
"e:\Dev\React\SidiroIOT\client\src\components\Backdrop.component.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"e:\Dev\React\SidiroIOT\client\src\components\Card.component.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"e:\Dev\React\SidiroIOT\client\src\components\CircularProgress.component.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 16, 5, 67
"e:\Dev\React\SidiroIOT\client\src\components\CollapsibleTable.component.js", "JavaScript", 144, 0, 0, 0, 0, 0, 0, 0, 2, 13, 159
"e:\Dev\React\SidiroIOT\client\src\components\ConfirmDeleteUserDialog.component.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 1, 6, 92
"e:\Dev\React\SidiroIOT\client\src\components\CreateAccountDialog.component.js", "JavaScript", 243, 0, 0, 0, 0, 0, 0, 0, 1, 13, 257
"e:\Dev\React\SidiroIOT\client\src\components\DevicesList.component.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 1, 7, 92
"e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPage.component.js", "JavaScript", 665, 0, 0, 0, 0, 0, 0, 0, 15, 39, 719
"e:\Dev\React\SidiroIOT\client\src\components\Drawer.component.js", "JavaScript", 470, 0, 0, 0, 0, 0, 0, 0, 4, 23, 497
"e:\Dev\React\SidiroIOT\client\src\components\Dropzone.component.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 1, 14, 82
"e:\Dev\React\SidiroIOT\client\src\components\IPConfigDialog.component.js", "JavaScript", 303, 0, 0, 0, 0, 0, 0, 0, 1, 15, 319
