Date : 2021-01-19 12:36:40
Directory : e:\Dev\React\SidiroIOT\client
Total : 116 files,  22900 codes, 208 comments, 563 blanks, all 23671 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |     16,335 |          0 |          3 |     16,338 |
| JavaScript |        101 |      6,426 |        184 |        522 |      7,132 |
| XML        |          7 |         54 |          1 |          2 |         57 |
| Markdown   |          1 |         37 |          0 |         32 |         69 |
| HTML       |          1 |         22 |         23 |          1 |         46 |
| CSS        |          1 |         12 |          0 |          2 |         14 |
| SCSS       |          1 |          8 |          0 |          0 |          8 |
| Log        |          1 |          6 |          0 |          1 |          7 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        116 |     22,900 |        208 |        563 |     23,671 |
| public                                                                                                                     |          2 |         47 |         23 |          2 |         72 |
| src                                                                                                                        |        110 |      6,500 |        185 |        526 |      7,211 |
| src\actions                                                                                                                |         17 |         82 |          0 |         17 |         99 |
| src\assets                                                                                                                 |          6 |         47 |          1 |          1 |         49 |
| src\components                                                                                                             |         42 |      4,652 |        116 |        384 |      5,152 |
| src\components\DevicesSelectionPageComponents                                                                              |         21 |      1,931 |         68 |        174 |      2,173 |
| src\reducers                                                                                                               |         18 |        468 |          4 |         37 |        509 |
| src\routes                                                                                                                 |          3 |         96 |          0 |         12 |        108 |
| src\services                                                                                                               |          8 |        299 |          1 |         28 |        328 |
| src\utilities                                                                                                              |          4 |         87 |          8 |          4 |         99 |
| src\workers                                                                                                                |          2 |         55 |          6 |          5 |         66 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                   | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\Dev\React\SidiroIOT\client\README.md                                                                                    | Markdown   |         37 |          0 |         32 |         69 |
| e:\Dev\React\SidiroIOT\client\debug.log                                                                                    | Log        |          6 |          0 |          1 |          7 |
| e:\Dev\React\SidiroIOT\client\package-lock.json                                                                            | JSON       |     16,261 |          0 |          1 |     16,262 |
| e:\Dev\React\SidiroIOT\client\package.json                                                                                 | JSON       |         49 |          0 |          1 |         50 |
| e:\Dev\React\SidiroIOT\client\public\index.html                                                                            | HTML       |         22 |         23 |          1 |         46 |
| e:\Dev\React\SidiroIOT\client\public\manifest.json                                                                         | JSON       |         25 |          0 |          1 |         26 |
| e:\Dev\React\SidiroIOT\client\src\App.js                                                                                   | JavaScript |         55 |          0 |          5 |         60 |
| e:\Dev\React\SidiroIOT\client\src\App.scss                                                                                 | SCSS       |          8 |          0 |          0 |          8 |
| e:\Dev\React\SidiroIOT\client\src\App.test.js                                                                              | JavaScript |          8 |          0 |          2 |         10 |
| e:\Dev\React\SidiroIOT\client\src\actions\AccountPage.action.js                                                            | JavaScript |          6 |          0 |          1 |          7 |
| e:\Dev\React\SidiroIOT\client\src\actions\Authentication.action.js                                                         | JavaScript |          2 |          0 |          1 |          3 |
| e:\Dev\React\SidiroIOT\client\src\actions\Backdrop.action.js                                                               | JavaScript |          4 |          0 |          1 |          5 |
| e:\Dev\React\SidiroIOT\client\src\actions\CollapsibleTable.action.js                                                       | JavaScript |          2 |          0 |          1 |          3 |
| e:\Dev\React\SidiroIOT\client\src\actions\ConfirmDeleteUserDialog.action.js                                                | JavaScript |          4 |          0 |          1 |          5 |
| e:\Dev\React\SidiroIOT\client\src\actions\CreateAccountDialog.action.js                                                    | JavaScript |         16 |          0 |          1 |         17 |
| e:\Dev\React\SidiroIOT\client\src\actions\DevicesList.action.js                                                            | JavaScript |          2 |          0 |          1 |          3 |
| e:\Dev\React\SidiroIOT\client\src\actions\DevicesSelectionPage.action.js                                                   | JavaScript |          6 |          0 |          1 |          7 |
| e:\Dev\React\SidiroIOT\client\src\actions\HardwareUsage.action.js                                                          | JavaScript |          2 |          0 |          1 |          3 |
| e:\Dev\React\SidiroIOT\client\src\actions\IPconfigDialog.action.js                                                         | JavaScript |         14 |          0 |          1 |         15 |
| e:\Dev\React\SidiroIOT\client\src\actions\LanguageDialog.action.js                                                         | JavaScript |          2 |          0 |          1 |          3 |
| e:\Dev\React\SidiroIOT\client\src\actions\LoginPage.action.js                                                              | JavaScript |          8 |          0 |          1 |          9 |
| e:\Dev\React\SidiroIOT\client\src\actions\Logs.action.js                                                                   | JavaScript |          2 |          0 |          1 |          3 |
| e:\Dev\React\SidiroIOT\client\src\actions\Settings.action.js                                                               | JavaScript |          4 |          0 |          1 |          5 |
| e:\Dev\React\SidiroIOT\client\src\actions\Snackbar.action.js                                                               | JavaScript |          4 |          0 |          1 |          5 |
| e:\Dev\React\SidiroIOT\client\src\actions\UniversalTabs.action.js                                                          | JavaScript |          2 |          0 |          1 |          3 |
| e:\Dev\React\SidiroIOT\client\src\actions\UserAccountsPage.action.js                                                       | JavaScript |          2 |          0 |          1 |          3 |
| e:\Dev\React\SidiroIOT\client\src\assets\InternalDeviceIcon.svg                                                            | XML        |          1 |          0 |          0 |          1 |
| e:\Dev\React\SidiroIOT\client\src\assets\MBGatewayIcon.svg                                                                 | XML        |          1 |          0 |          0 |          1 |
| e:\Dev\React\SidiroIOT\client\src\assets\MSAgentIcon.svg                                                                   | XML        |          1 |          0 |          0 |          1 |
| e:\Dev\React\SidiroIOT\client\src\assets\S7Icon.svg                                                                        | XML        |          1 |          0 |          0 |          1 |
| e:\Dev\React\SidiroIOT\client\src\assets\pacIcon.svg                                                                       | XML        |          1 |          0 |          0 |          1 |
| e:\Dev\React\SidiroIOT\client\src\assets\sie-logo-petrol-rgb.svg                                                           | XML        |         42 |          1 |          1 |         44 |
| e:\Dev\React\SidiroIOT\client\src\components\AccountPage.component.js                                                      | JavaScript |        190 |          2 |         14 |        206 |
| e:\Dev\React\SidiroIOT\client\src\components\Backdrop.component.js                                                         | JavaScript |         27 |          0 |          5 |         32 |
| e:\Dev\React\SidiroIOT\client\src\components\Card.component.js                                                             | JavaScript |         26 |          0 |          1 |         27 |
| e:\Dev\React\SidiroIOT\client\src\components\CircularProgress.component.js                                                 | JavaScript |         46 |         16 |          5 |         67 |
| e:\Dev\React\SidiroIOT\client\src\components\CollapsedRow.component.js                                                     | JavaScript |         71 |          0 |          8 |         79 |
| e:\Dev\React\SidiroIOT\client\src\components\CollapsibleTable.component.js                                                 | JavaScript |         30 |          0 |          1 |         31 |
| e:\Dev\React\SidiroIOT\client\src\components\ConfirmDeleteUserDialog.component.js                                          | JavaScript |         85 |          1 |          6 |         92 |
| e:\Dev\React\SidiroIOT\client\src\components\CreateAccountDialog.component.js                                              | JavaScript |        243 |          1 |         13 |        257 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesList.component.js                                                      | JavaScript |        115 |          0 |          9 |        124 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPage.component.js                                             | JavaScript |        145 |          4 |         14 |        163 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\AlertsTabContent.component.js                  | JavaScript |         85 |          0 |          7 |         92 |
